id,title,category,subcategory,parent_id,difficulty,importance,game_phases,aliases,related_concepts,review_status
opening.rapid_development,Rapid Development,Opening,Development,,intermediate,7,opening,,opening.opening_principles_versus_concrete_tactics|opening.development_lead,ontology_only
opening.development_lead,Development Lead,Opening,Development,,intermediate,7,opening,,opening.rapid_development|opening.complete_development,ontology_only
opening.complete_development,Complete Development,Opening,Development,,intermediate,7,opening,,opening.development_lead|opening.development_before_material,ontology_only
opening.development_before_material,Development before Material,Opening,Development,,beginner,7,opening,,opening.complete_development|opening.development_before_attack,ontology_only
opening.development_before_attack,Development before Attack,Opening,Development,,intermediate,7,opening,,opening.development_before_material|opening.connect_the_rooks,ontology_only
opening.connect_the_rooks,Connect the Rooks,Opening,Development,,intermediate,7,opening,,opening.development_before_attack|opening.minor_piece_development,ontology_only
opening.minor_piece_development,Minor-Piece Development,Opening,Development,,intermediate,7,opening,,opening.connect_the_rooks|opening.punishing_slow_development,ontology_only
opening.punishing_slow_development,Punishing Slow Development,Opening,Development,,intermediate,7,opening,,opening.minor_piece_development|opening.delayed_development,ontology_only
opening.delayed_development,Delayed Development,Opening,Development,,intermediate,7,opening,,opening.punishing_slow_development|opening.repeated_piece_moves,ontology_only
opening.repeated_piece_moves,Repeated Piece Moves,Opening,Opening Principles,,intermediate,7,opening,,opening.delayed_development|opening.early_queen_development,ontology_only
opening.early_queen_development,Early Queen Development,Opening,Development,,intermediate,7,opening,,opening.repeated_piece_moves|opening.fight_for_the_centre,ontology_only
opening.fight_for_the_centre,Fight for the Centre,Opening,Centre,,intermediate,7,opening,,opening.early_queen_development|opening.occupy_the_centre,ontology_only
opening.occupy_the_centre,Occupy the Centre,Opening,Centre,,intermediate,7,opening,,opening.fight_for_the_centre|opening.control_the_centre,ontology_only
opening.control_the_centre,Control the Centre,Opening,Centre,,intermediate,7,opening,,opening.occupy_the_centre|opening.pawn_centre,ontology_only
opening.pawn_centre,Pawn Centre,Opening,Centre,,intermediate,7,opening,,opening.control_the_centre|opening.piece_pressure_on_the_centre,ontology_only
opening.piece_pressure_on_the_centre,Piece Pressure on the Centre,Opening,Centre,,intermediate,7,opening,,opening.pawn_centre|opening.central_tension,ontology_only
opening.central_tension,Central Tension,Opening,Centre,,intermediate,7,opening,,opening.piece_pressure_on_the_centre|opening.central_break,ontology_only
opening.central_break,Central Break,Opening,Centre,,intermediate,7,opening,,opening.central_tension|opening.undermining_the_centre,ontology_only
opening.undermining_the_centre,Undermining the Centre,Opening,Centre,,intermediate,7,opening,,opening.central_break|opening.open_centre,ontology_only
opening.open_centre,Open Centre,Opening,Centre,,intermediate,7,opening,,opening.undermining_the_centre|opening.closed_centre,ontology_only
opening.closed_centre,Closed Centre,Opening,Centre,,intermediate,7,opening,,opening.open_centre|opening.semi_open_centre,ontology_only
opening.semi_open_centre,Semi-Open Centre,Opening,Centre,,intermediate,7,opening,,opening.closed_centre|opening.locked_centre,ontology_only
opening.locked_centre,Locked Centre,Opening,Centre,,intermediate,7,opening,,opening.semi_open_centre|opening.king_safety,ontology_only
opening.king_safety,King Safety,Opening,King Safety,,intermediate,10,opening,,opening.locked_centre|opening.castling|piece_evaluation.king_safety|evaluation.king_safety,ontology_only
opening.castling,Castling,Opening,King Safety,,beginner,7,opening,,opening.king_safety|opening.delayed_castling,ontology_only
opening.delayed_castling,Delayed Castling,Opening,King Safety,,beginner,7,opening,,opening.castling|opening.opposite_side_castling,ontology_only
opening.opposite_side_castling,Opposite-Side Castling,Opening,King Safety,,beginner,7,opening,,opening.delayed_castling|opening.king_in_the_centre,ontology_only
